Subject,title,price,description,features,Order_No,Unit,tokenized_text,stemmed_text,lemmatized_text
yinghd 64gb otg usb flash drive type c silverksh 590ksh 80026 3 9 out of 5 126 ,yinghd 64gb otg usb flash drive type c silver,ksh 530,  delivery from ksh 84  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,not avilable,1677257151,82,delivery ksh 84 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 84 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 84 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
official storeqwen usb flash drive  flash disk 32gb  silverksh 499ksh 99850 4 2 out of 5 235 ,qwen usb flash drive  flash disk 32gb  silver,ksh 499,  delivery from ksh 84  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,about the usb flash drive capacity,1677257159,83,delivery ksh 84 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 84 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 84 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
official storeqwen usb flash drive  flash disk 32gb  silverksh 499ksh 99850 4 2 out of 5 235 ,qwen usb flash drive  flash disk 32gb  silver,ksh 499,  delivery from ksh 84  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,32gb   approximately 28g 29g,1677257159,84,delivery ksh 84 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 84 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 84 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
official storeqwen usb flash drive  flash disk 32gb  silverksh 499ksh 99850 4 2 out of 5 235 ,qwen usb flash drive  flash disk 32gb  silver,ksh 499,  delivery from ksh 84  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,to avoid data loss or mechanical damage  do not power down your computer or unplug flash disk during transfer ,1677257159,85,delivery ksh 84 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 84 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 84 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
darkhorsir 2 0 high speed 32gb memory card mirco sd tf cardksh 489ksh 96849 3 9 out of 5 90 ,darkhorsir 2 0 high speed 32gb memory card mirco sd tf card,ksh 489,  shipping from ksh 84 to embakasi east   utawala mihango gsu,not avilable,1677257166,86,shipping ksh 84 embakasi east utawala mihango gsu,ship ksh 84 embakasi east utawala mihango gsu,ship ksh 84 embakasi east utawala mihango gsu
tech week dealgeneric folding metal laptop tablet stand   silverksh 890ksh 1 58544 4 6 out of 5 27 ,generic folding metal laptop tablet stand   silver,ksh 890,  delivery from ksh 102  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,not avilable,1677257273,88,delivery ksh 102 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
official storeqwen 32gb mini usb flash disk flash drives metal silverksh 499ksh 99850 4 1 out of 5 320 ,qwen 32gb mini usb flash disk flash drives metal silver,ksh 499,  delivery from ksh 84  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,about the usb flash drive capacity,1677257286,89,delivery ksh 84 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 84 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 84 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
official storeqwen 32gb mini usb flash disk flash drives metal silverksh 499ksh 99850 4 1 out of 5 320 ,qwen 32gb mini usb flash disk flash drives metal silver,ksh 499,  delivery from ksh 84  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,32gb   approximately 28g 29g,1677257286,90,delivery ksh 84 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 84 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 84 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
official storeqwen 32gb mini usb flash disk flash drives metal silverksh 499ksh 99850 4 1 out of 5 320 ,qwen 32gb mini usb flash disk flash drives metal silver,ksh 499,  delivery from ksh 84  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,to avoid data loss or mechanical damage  do not power down your computer or unplug flash disk during transfer ,1677257286,91,delivery ksh 84 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 84 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 84 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
generic ultra thin wireless mouse 2 4g rechargeableksh 440ksh 86349 offers from4 5 out of 5 672 ,generic ultra thin wireless mouse 2 4g rechargeable,ksh 440,  delivery from ksh 102  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,not avilable,1677257300,92,delivery ksh 102 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
