web-scraper-order,web-scraper-start-url,container_link,container_link-href,title,price,description,features,image-src,ratings,ratings-href
"1677257144-78","https://www.jumia.co.ke/computing/","HP Refurbished EliteBook Revolve 810 G3 TOUCHSCREEN-Core I5-8GB RAM,256GB SSD-Silver (WIN 10)+Docking StationKSh 27,999KSh 32,00013%4.7 out of 5(7)","https://www.jumia.co.ke/hp-refurbished-elitebook-revolve-810-g3-touchscreen-core-i5-8gb-ram256gb-ssd-silver-win-10docking-station-89455897.html","HP Refurbished EliteBook Revolve 810 G3 TOUCHSCREEN-Core I5-8GB RAM,256GB SSD-Silver (WIN 10)+Docking Station","KSh 27,999","+ shipping from KSh 166 to Embakasi East - Utawala/mihango/GSU","Local Area Network (LAN) Integrated Intel 1218LM Gigabit* Network Connection (vPro configurations)","null","(7 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/HP246CL1BJKWANAFAMZ/"
"1677257144-79","https://www.jumia.co.ke/computing/","HP Refurbished EliteBook Revolve 810 G3 TOUCHSCREEN-Core I5-8GB RAM,256GB SSD-Silver (WIN 10)+Docking StationKSh 27,999KSh 32,00013%4.7 out of 5(7)","https://www.jumia.co.ke/hp-refurbished-elitebook-revolve-810-g3-touchscreen-core-i5-8gb-ram256gb-ssd-silver-win-10docking-station-89455897.html","HP Refurbished EliteBook Revolve 810 G3 TOUCHSCREEN-Core I5-8GB RAM,256GB SSD-Silver (WIN 10)+Docking Station","KSh 27,999","+ shipping from KSh 166 to Embakasi East - Utawala/mihango/GSU","Integrated 720p HD* webcam","null","(7 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/HP246CL1BJKWANAFAMZ/"
"1677257144-80","https://www.jumia.co.ke/computing/","HP Refurbished EliteBook Revolve 810 G3 TOUCHSCREEN-Core I5-8GB RAM,256GB SSD-Silver (WIN 10)+Docking StationKSh 27,999KSh 32,00013%4.7 out of 5(7)","https://www.jumia.co.ke/hp-refurbished-elitebook-revolve-810-g3-touchscreen-core-i5-8gb-ram256gb-ssd-silver-win-10docking-station-89455897.html","HP Refurbished EliteBook Revolve 810 G3 TOUCHSCREEN-Core I5-8GB RAM,256GB SSD-Silver (WIN 10)+Docking Station","KSh 27,999","+ shipping from KSh 166 to Embakasi East - Utawala/mihango/GSU","USB 3.0 port: 1","null","(7 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/HP246CL1BJKWANAFAMZ/"
"1677257144-81","https://www.jumia.co.ke/computing/","HP Refurbished EliteBook Revolve 810 G3 TOUCHSCREEN-Core I5-8GB RAM,256GB SSD-Silver (WIN 10)+Docking StationKSh 27,999KSh 32,00013%4.7 out of 5(7)","https://www.jumia.co.ke/hp-refurbished-elitebook-revolve-810-g3-touchscreen-core-i5-8gb-ram256gb-ssd-silver-win-10docking-station-89455897.html","HP Refurbished EliteBook Revolve 810 G3 TOUCHSCREEN-Core I5-8GB RAM,256GB SSD-Silver (WIN 10)+Docking Station","KSh 27,999","+ shipping from KSh 166 to Embakasi East - Utawala/mihango/GSU","microSD Media Reader Slot - supports SD, SDHC, SDXC","null","(7 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/HP246CL1BJKWANAFAMZ/"
"1677257151-82","https://www.jumia.co.ke/computing/","YingHD 64GB OTG USB Flash Drive Type C SilverKSh 590KSh 80026%3.9 out of 5(126)","https://www.jumia.co.ke/64gb-otg-usb-flash-drive-type-c-silver-yinghd-mpg402173.html","YingHD 64GB OTG USB Flash Drive Type C Silver","KSh 530","+ delivery from KSh 84 (free delivery if order above KSh 1,999) to Embakasi East - Utawala/mihango/GSU","","null","(126 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/GE840EA1BQJ65NAFAMZ/"
"1677257159-83","https://www.jumia.co.ke/computing/","Official StoreQwen USB Flash Drive  Flash Disk-32GB  SilverKSh 499KSh 99850%4.2 out of 5(235)","https://www.jumia.co.ke/qwen-usb-flash-drive-flash-disk-32gb-silver-45392844.html","Qwen USB Flash Drive  Flash Disk-32GB  Silver","KSh 499","+ delivery from KSh 84 (free delivery if order above KSh 1,999) to Embakasi East - Utawala/mihango/GSU","About The USB Flash Drive Capacity","null","(235 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/QW220EA0QOUJUNAFAMZ/"
"1677257159-84","https://www.jumia.co.ke/computing/","Official StoreQwen USB Flash Drive  Flash Disk-32GB  SilverKSh 499KSh 99850%4.2 out of 5(235)","https://www.jumia.co.ke/qwen-usb-flash-drive-flash-disk-32gb-silver-45392844.html","Qwen USB Flash Drive  Flash Disk-32GB  Silver","KSh 499","+ delivery from KSh 84 (free delivery if order above KSh 1,999) to Embakasi East - Utawala/mihango/GSU","32GB = approximately 28G-29G","null","(235 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/QW220EA0QOUJUNAFAMZ/"
"1677257159-85","https://www.jumia.co.ke/computing/","Official StoreQwen USB Flash Drive  Flash Disk-32GB  SilverKSh 499KSh 99850%4.2 out of 5(235)","https://www.jumia.co.ke/qwen-usb-flash-drive-flash-disk-32gb-silver-45392844.html","Qwen USB Flash Drive  Flash Disk-32GB  Silver","KSh 499","+ delivery from KSh 84 (free delivery if order above KSh 1,999) to Embakasi East - Utawala/mihango/GSU","To avoid data loss or mechanical damage, do not power down your computer or unplug flash disk during transfer.","null","(235 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/QW220EA0QOUJUNAFAMZ/"
"1677257166-86","https://www.jumia.co.ke/computing/","Darkhorsir 2.0 High Speed 32GB Memory Card/Mirco SD/TF CardKSh 489KSh 96849%3.9 out of 5(90)","https://www.jumia.co.ke/darkhorsir-2.0-high-speed-32gb-memory-cardmirco-sdtf-card-34032252.html","Darkhorsir 2.0 High Speed 32GB Memory Card/Mirco SD/TF Card","KSh 489","+ shipping from KSh 84 to Embakasi East - Utawala/mihango/GSU","","null","(90 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/DA630EA0F0M83NAFAMZ/"
"1677257184-87","https://www.jumia.co.ke/computing/","Out of StockGeneric Portable ALUMINIUM ALLOY Fold-able Computer Support Laptop StandKSh 945KSh 1,20021%4.8 out of 5(27)","https://www.jumia.co.ke/generic-portable-aluminium-alloy-fold-able-computer-support-laptop-stand-66795009.html","Laptop Stands","null","null","","null","null","null"
